Day1 Name,Day2 Name,Variable Label
SEQN,SEQN,Respondent sequence number
WTDRD1,WTDRD1,Dietary day one sample weight
WTDR2D,WTDR2D,Dietary two-day sample weight
DR1ILINE,DR2ILINE,Food/Individual component number
DR1DRSTZ,DR2DRSTZ,Dietary recall status
DR1EXMER,DR2EXMER,Interviewer ID code
DRABF,DRABF,Breast-fed infant (either day)
DRDINT,DRDINT,Number of days of intake
DR1DBIH,DR2DBIH,# of days b/w intake and HH interview
DR1DAY,DR2DAY,Intake day of the week
DR1LANG,DR2LANG,Language respondent used mostly
DR1CCMNM,DR2CCMNM,Combination food number
DR1CCMTX,DR2CCMTX,Combination food type
DR1_020,DR2_020,Time of eating occasion (HH:MM)
DR1_030Z,DR2_030Z,Name of eating occasion
DR1FS,DR2FS,Source of food
DR1_040Z,DR2_040Z,Did you eat this meal at home?
DR1IFDCD,DR2IFDCD,USDA food code
DR1IGRMS,DR2IGRMS,Grams
DR1IKCAL,DR2IKCAL,Energy (kcal)
DR1IPROT,DR2IPROT,Protein (gm)
DR1ICARB,DR2ICARB,Carbohydrate (gm)
DR1ISUGR,DR2ISUGR,Total sugars (gm)
DR1IFIBE,DR2IFIBE,Dietary fiber (gm)
DR1ITFAT,DR2ITFAT,Total fat (gm)
DR1ISFAT,DR2ISFAT,Total saturated fatty acids (gm)
DR1IMFAT,DR2IMFAT,Total monounsaturated fatty acids (gm)
DR1IPFAT,DR2IPFAT,Total polyunsaturated fatty acids (gm)
DR1ICHOL,DR2ICHOL,Cholesterol (mg)
DR1IATOC,DR2IATOC,Vitamin E as alpha-tocopherol (mg)
DR1IATOA,DR2IATOA,Added alpha-tocopherol (Vitamin E) (mg)
DR1IRET,DR2IRET,Retinol (mcg)
DR1IVARA,DR2IVARA,"Vitamin A, RAE (mcg)"
DR1IACAR,DR2IACAR,Alpha-carotene (mcg)
DR1IBCAR,DR2IBCAR,Beta-carotene (mcg)
DR1ICRYP,DR2ICRYP,Beta-cryptoxanthin (mcg)
DR1ILYCO,DR2ILYCO,Lycopene (mcg)
DR1ILZ,DR2ILZ,Lutein + zeaxanthin (mcg)
DR1IVB1,DR2IVB1,Thiamin (Vitamin B1) (mg)
DR1IVB2,DR2IVB2,Riboflavin (Vitamin B2) (mg)
DR1INIAC,DR2INIAC,Niacin (mg)
DR1IVB6,DR2IVB6,Vitamin B6 (mg)
DR1IFOLA,DR2IFOLA,Total folate (mcg)
DR1IFA,DR2IFA,Folic acid (mcg)
DR1IFF,DR2IFF,Food folate (mcg)
DR1IFDFE,DR2IFDFE,"Folate, DFE (mcg)"
DR1ICHL,DR2ICHL,Total choline (mg)
DR1IVB12,DR2IVB12,Vitamin B12 (mcg)
DR1IB12A,DR2IB12A,Added vitamin B12 (mcg)
DR1IVC,DR2IVC,Vitamin C (mg)
DR1IVD,DR2IVD,Vitamin D (D2 + D3) (mcg)
DR1IVK,DR2IVK,Vitamin K (mcg)
DR1ICALC,DR2ICALC,Calcium (mg)
DR1IPHOS,DR2IPHOS,Phosphorus (mg)
DR1IMAGN,DR2IMAGN,Magnesium (mg)
DR1IIRON,DR2IIRON,Iron (mg)
DR1IZINC,DR2IZINC,Zinc (mg)
DR1ICOPP,DR2ICOPP,Copper (mg)
DR1ISODI,DR2ISODI,Sodium (mg)
DR1IPOTA,DR2IPOTA,Potassium (mg)
DR1ISELE,DR2ISELE,Selenium (mcg)
DR1ICAFF,DR2ICAFF,Caffeine (mg)
DR1ITHEO,DR2ITHEO,Theobromine (mg)
DR1IALCO,DR2IALCO,Alcohol (gm)
DR1IMOIS,DR2IMOIS,Moisture (gm)
DR1IS040,DR2IS040,SFA 4:0 (Butanoic) (gm)
DR1IS060,DR2IS060,SFA 6:0 (Hexanoic) (gm)
DR1IS080,DR2IS080,SFA 8:0 (Octanoic) (gm)
DR1IS100,DR2IS100,SFA 10:0 (Decanoic) (gm)
DR1IS120,DR2IS120,SFA 12:0 (Dodecanoic) (gm)
DR1IS140,DR2IS140,SFA 14:0 (Tetradecanoic) (gm)
DR1IS160,DR2IS160,SFA 16:0 (Hexadecanoic) (gm)
DR1IS180,DR2IS180,SFA 18:0 (Octadecanoic) (gm)
DR1IM161,DR2IM161,MFA 16:1 (Hexadecenoic) (gm)
DR1IM181,DR2IM181,MFA 18:1 (Octadecenoic) (gm)
DR1IM201,DR2IM201,MFA 20:1 (Eicosenoic) (gm)
DR1IM221,DR2IM221,MFA 22:1 (Docosenoic) (gm)
DR1IP182,DR2IP182,PFA 18:2 (Octadecadienoic) (gm)
DR1IP183,DR2IP183,PFA 18:3 (Octadecatrienoic) (gm)
DR1IP184,DR2IP184,PFA 18:4 (Octadecatetraenoic) (gm)
DR1IP204,DR2IP204,PFA 20:4 (Eicosatetraenoic) (gm)
DR1IP205,DR2IP205,PFA 20:5 (Eicosapentaenoic) (gm)
DR1IP225,DR2IP225,PFA 22:5 (Docosapentaenoic) (gm)
DR1IP226,DR2IP226,PFA 22:6 (Docosahexaenoic) (gm)
